City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,hami,42.8,93.45,-2.6,72,1,2.11,CN,1733406697
245,berdigestyakh,62.0989,126.6992,-25.59,98,79,3.0,RU,1733406698
246,victoria falls,-17.9235,25.843,39.93,8,87,4.7,ZW,1733406699
247,axim,4.8699,-2.2405,30.04,60,27,4.3,GH,1733406700
248,ebon,4.582,168.6964,28.51,80,36,8.15,MH,1733406703
249,new norfolk,-42.7826,147.0587,15.4,89,0,1.0,AU,1733406704
250,santa rita,-7.1139,-34.9781,31.37,45,75,5.66,BR,1733406705
251,aldan,58.6031,125.3894,-23.76,99,100,1.03,RU,1733406706
252,coruripe,-10.1256,-36.1756,28.46,54,96,5.79,BR,1733406707
253,lompoc,34.6391,-120.4579,6.4,100,100,4.63,US,1733406708
254,rio brilhante,-21.8019,-54.5464,30.8,54,49,3.2,BR,1733406709
255,kapuskasing,49.4169,-82.4331,-7.95,86,100,6.69,CA,1733406710
256,nadym,65.5333,72.5167,-8.18,91,100,10.3,RU,1733406712
257,yaren,-0.5472,166.916,28.05,79,25,8.41,NR,1733406713
258,mopti,14.6667,-4.0,34.02,11,0,5.14,ML,1733406714
259,barra,-11.0894,-43.1417,30.39,40,28,4.47,BR,1733406715
260,keflavik,64.0049,-22.5624,1.24,93,100,3.6,IS,1733406716
261,quellon,-43.1167,-73.6167,12.21,86,82,0.89,CL,1733406717
262,challapata,-18.9,-66.7667,13.9,27,100,2.71,BO,1733406718
263,pontes e lacerda,-15.2261,-59.3353,24.06,95,100,1.18,BR,1733406719
264,forest grove,45.5198,-123.1107,2.44,86,100,0.7,US,1733406524
265,le port,-20.9373,55.2919,27.16,85,54,2.17,RE,1733406722
266,alofi,-19.0595,-169.9187,24.94,88,75,2.57,NU,1733406723
267,severo-yeniseyskiy,60.3725,93.0408,-8.24,91,96,4.47,RU,1733406724
268,vallenar,-28.5708,-70.7581,23.34,25,100,2.45,CL,1733406725
269,kihangara,-2.5833,33.35,25.36,54,76,1.67,TZ,1733406726
270,qacha's nek,-30.1154,28.6894,24.52,21,100,8.79,LS,1733406727
271,phalaborwa,-23.943,31.1411,41.33,13,1,3.06,ZA,1733406729
272,satsuma,30.8532,-88.0561,16.23,98,100,0.55,US,1733406452
273,inhambane,-23.865,35.3833,30.99,66,0,8.94,MZ,1733406731
274,el porvenir,13.7617,-87.3458,23.65,70,65,2.46,HN,1733406732
275,kushiro,42.975,144.3747,-0.47,55,19,4.12,JP,1733406733
